"data_partida","mandante","estado_mandante","time_fora","estado_time_fora","gols_mandante","gols_time_fora","temporada","rodada"
2007-05-12 00:00:00,"Figueirense","","Athletico-PR","PR",3,6,2007,1
2007-05-12 00:00:00,"Fluminense","","Cruzeiro","",2,2,2007,1
2007-05-12 00:00:00,"São Paulo","","Goiás","",2,0,2007,1
2007-05-13 00:00:00,"Paraná","","Grêmio","",3,0,2007,1
2007-05-13 00:00:00,"Flamengo","","Palmeiras","",2,4,2007,1
2007-05-13 00:00:00,"Internacional","","Botafogo","",2,3,2007,1
2007-05-13 00:00:00,"Atlético-MG","MG","Náutico","",2,1,2007,1
2007-05-13 00:00:00,"América-RN","RN","Vasco","",0,1,2007,1
2007-05-13 00:00:00,"Corinthians","","Juventude","",1,0,2007,1
2007-05-13 00:00:00,"Sport","","Santos","",4,1,2007,1
2007-05-19 00:00:00,"Santos","","América-RN","RN",2,3,2007,2
2007-05-19 00:00:00,"Athletico-PR","PR","Internacional","",2,1,2007,2
2007-05-19 00:00:00,"Juventude","","Paraná","",1,2,2007,2
2007-05-20 00:00:00,"Goiás","","Flamengo","",1,3,2007,2
2007-05-20 00:00:00,"Botafogo","","Atlético-MG","MG",2,1,2007,2
2007-05-20 00:00:00,"Cruzeiro","","Corinthians","",0,3,2007,2
2007-05-20 00:00:00,"Palmeiras","","Figueirense","",2,1,2007,2
2007-05-20 00:00:00,"Grêmio","","Fluminense","",2,0,2007,2
2007-05-20 00:00:00,"Náutico","","São Paulo","",1,0,2007,2
2007-05-20 00:00:00,"Vasco","","Sport","",3,1,2007,2
2007-05-26 00:00:00,"América-RN","RN","Figueirense","",0,1,2007,3
2007-05-26 00:00:00,"Corinthians","","Atlético-MG","MG",0,0,2007,3
2007-05-26 00:00:00,"Fluminense","","Internacional","",3,0,2007,3
2007-05-27 00:00:00,"São Paulo","","Palmeiras","",0,0,2007,3
2007-05-27 00:00:00,"Grêmio","","Sport","",1,0,2007,3
2007-05-27 00:00:00,"Náutico","","Vasco","",2,2,2007,3
2007-05-27 00:00:00,"Athletico-PR","PR","Santos","",0,1,2007,3
2007-05-27 00:00:00,"Flamengo","","Botafogo","",2,2,2007,3
2007-05-27 00:00:00,"Cruzeiro","","Paraná","",3,4,2007,3
2007-05-27 00:00:00,"Goiás","","Juventude","",3,1,2007,3
2007-06-02 00:00:00,"Atlético-MG","MG","Athletico-PR","PR",1,1,2007,4
2007-06-02 00:00:00,"Botafogo","","Grêmio","",3,0,2007,4
2007-06-02 00:00:00,"Figueirense","","Goiás","",2,1,2007,4
2007-06-03 00:00:00,"Juventude","","América-RN","RN",3,0,2007,4
2007-06-03 00:00:00,"Santos","","Corinthians","",1,1,2007,4
2007-06-03 00:00:00,"Sport","","Flamengo","",2,2,2007,4
2007-06-03 00:00:00,"Palmeiras","","Cruzeiro","",1,3,2007,4
2007-06-03 00:00:00,"Vasco","","Fluminense","",1,1,2007,4
2007-06-03 00:00:00,"Paraná","","São Paulo","",0,1,2007,4
2007-06-04 00:00:00,"Internacional","","Náutico","",2,0,2007,4
2007-06-09 00:00:00,"Vasco","","Grêmio","",4,0,2007,5
2007-06-09 00:00:00,"Palmeiras","","Botafogo","",1,1,2007,5
2007-06-09 00:00:00,"Náutico","","Paraná","",4,4,2007,5
2007-06-10 00:00:00,"América-RN","RN","Corinthians","",1,2,2007,5
2007-06-10 00:00:00,"Fluminense","","Sport","",3,0,2007,5
2007-06-10 00:00:00,"Figueirense","","Flamengo","",4,0,2007,5
2007-06-10 00:00:00,"Athletico-PR","PR","Goiás","",0,3,2007,5
2007-06-10 00:00:00,"Internacional","","Santos","",1,0,2007,5
2007-06-10 00:00:00,"São Paulo","","Atlético-MG","MG",0,1,2007,5
2007-06-10 00:00:00,"Cruzeiro","","Juventude","",2,3,2007,5
2007-06-16 00:00:00,"Grêmio","","Cruzeiro","",0,2,2007,6
2007-06-16 00:00:00,"Corinthians","","Paraná","",0,0,2007,6
2007-06-16 00:00:00,"Flamengo","","Internacional","",2,2,2007,6
2007-06-17 00:00:00,"Goiás","","Palmeiras","",3,1,2007,6
2007-06-17 00:00:00,"Atlético-MG","MG","Figueirense","",4,1,2007,6
2007-06-17 00:00:00,"São Paulo","","Vasco","",2,0,2007,6
2007-06-17 00:00:00,"Athletico-PR","PR","Fluminense","",1,1,2007,6
2007-06-17 00:00:00,"Juventude","","Santos","",0,2,2007,6
2007-06-17 00:00:00,"Botafogo","","Náutico","",3,1,2007,6
2007-06-17 00:00:00,"Sport","","América-RN","RN",2,2,2007,6
2007-06-23 00:00:00,"Juventude","","Figueirense","",1,1,2007,7
2007-06-23 00:00:00,"Paraná","","Sport","",1,0,2007,7
2007-06-24 00:00:00,"Palmeiras","","Athletico-PR","PR",0,2,2007,7
2007-06-24 00:00:00,"América-RN","RN","Fluminense","",0,1,2007,7
2007-06-24 00:00:00,"Santos","","São Paulo","",0,2,2007,7
2007-06-24 00:00:00,"Cruzeiro","","Atlético-MG","MG",4,2,2007,7
2007-06-24 00:00:00,"Náutico","","Goiás","",0,2,2007,7
2007-06-24 00:00:00,"Internacional","","Grêmio","",0,2,2007,7
2007-08-15 00:00:00,"Botafogo","","Corinthians","",2,3,2007,7
2007-10-18 00:00:00,"Vasco","","Flamengo","",1,2,2007,7
2007-06-28 00:00:00,"Sport","","Náutico","",4,1,2007,8
2007-06-28 00:00:00,"Figueirense","","São Paulo","",0,0,2007,8
2007-06-30 00:00:00,"Santos","","Grêmio","",0,0,2007,8
2007-06-30 00:00:00,"Cruzeiro","","Vasco","",3,1,2007,8
2007-06-30 00:00:00,"América-RN","RN","Goiás","",0,3,2007,8
2007-06-30 00:00:00,"Corinthians","","Palmeiras","",0,1,2007,8
2007-06-30 00:00:00,"Internacional","","Atlético-MG","MG",1,1,2007,8
2007-06-30 00:00:00,"Paraná","","Athletico-PR","PR",2,2,2007,8
2007-06-30 00:00:00,"Fluminense","","Botafogo","",1,2,2007,8
2007-08-23 00:00:00,"Flamengo","","Juventude","",4,0,2007,8
2007-07-03 00:00:00,"Palmeiras","","América-RN","RN",2,0,2007,9
2007-07-03 00:00:00,"São Paulo","","Internacional","",1,0,2007,9
2007-07-03 00:00:00,"Fluminense","","Paraná","",0,0,2007,9
2007-07-03 00:00:00,"Grêmio","","Juventude","",3,1,2007,9
2007-07-03 00:00:00,"Athletico-PR","PR","Náutico","",1,1,2007,9
2007-07-03 00:00:00,"Figueirense","","Cruzeiro","",2,1,2007,9
2007-07-03 00:00:00,"Goiás","","Botafogo","",1,1,2007,9
2007-07-04 00:00:00,"Vasco","","Santos","",4,0,2007,9
2007-07-04 00:00:00,"Atlético-MG","MG","Flamengo","",1,1,2007,9
2007-07-04 00:00:00,"Sport","","Corinthians","",2,1,2007,9
2007-07-06 00:00:00,"Paraná","","América-RN","RN",0,1,2007,10
2007-07-07 00:00:00,"Atlético-MG","MG","Grêmio","",0,1,2007,10
2007-07-07 00:00:00,"Santos","","Cruzeiro","",4,1,2007,10
2007-07-07 00:00:00,"Corinthians","","Fluminense","",1,1,2007,10
2007-07-07 00:00:00,"Náutico","","Palmeiras","",0,1,2007,10
2007-07-07 00:00:00,"Juventude","","Vasco","",2,0,2007,10
2007-07-07 00:00:00,"Internacional","","Figueirense","",2,1,2007,10
2007-07-07 00:00:00,"Goiás","","Sport","",3,2,2007,10
2007-07-07 00:00:00,"São Paulo","","Flamengo","",0,0,2007,10
2007-07-07 00:00:00,"Botafogo","","Athletico-PR","PR",2,0,2007,10
2007-07-12 00:00:00,"Paraná","","Figueirense","",1,2,2007,11
2007-07-12 00:00:00,"Juventude","","Náutico","",1,1,2007,11
2007-07-12 00:00:00,"Vasco","","Athletico-PR","PR",1,0,2007,11
2007-07-14 00:00:00,"Grêmio","","Palmeiras","",1,1,2007,11
2007-07-14 00:00:00,"Santos","","Botafogo","",3,0,2007,11
2007-07-14 00:00:00,"Sport","","Atlético-MG","MG",2,0,2007,11
2007-07-14 00:00:00,"América-RN","RN","Internacional","",1,2,2007,11
2007-07-14 00:00:00,"Cruzeiro","","Goiás","",2,1,2007,11
2007-07-14 00:00:00,"Corinthians","","São Paulo","",1,1,2007,11
2007-08-16 00:00:00,"Fluminense","","Flamengo","",0,1,2007,11
2007-06-14 00:00:00,"Botafogo","","Vasco","",4,0,2007,12
2007-07-18 00:00:00,"Figueirense","","Sport","",0,1,2007,12
2007-07-18 00:00:00,"Athletico-PR","PR","Juventude","",4,0,2007,12
